document_id,filename,title,usage,stages,note
kr-mfds-wellness-0091-03-20260212,kr-mfds-wellness-0091-03-20260212.pdf,의료기기와 개인용 건강관리(웰니스) 제품 판단기준,RULE_BASE,"A,B",지침서-0091-03·2026.2 개정·고위해도 5요소/weight 척도/data_type 경계/6칸 매핑 근거·1차 투입 첫 문서
kr-mobile-medical-app-guide-20200221,kr-mobile-medical-app-guide-20200221.pdf,모바일 의료용 앱 안전관리 지침,RULE_BASE,B,2020.2.21 개정·function_type 3분류 근거·부록2 회신사례
kr-mfds-llm-medical-device-guide-20260630,kr-mfds-llm-medical-device-guide-20260630.pdf,거대언어모델(LLM) 기반 디지털의료기기 허가·심사 가이드라인,RULE_BASE,B,안내서-1511-01·2026.6.30 제정·data_type×function_type 매핑 사례
kr-medical-device-act-20260701,kr-medical-device-act-20260701.pdf,의료기기법,RULE_BASE,"A,C",법률 제21263호·시행 2026.7.1·제2조(의료기기 4목적)·제24조(광고 금지)
kr-medical-device-act-rule-20260701,kr-medical-device-act-rule-20260701.pdf,의료기기법 시행규칙,RULE_BASE,C,총리령 제2127호·시행 2026.7.1·제45조(광고 범위)·별표7은 별도 파일
kr-medical-device-act-rule-annex7-20260701,kr-medical-device-act-rule-annex7-20260701.pdf,의료기기법 시행규칙 별표7 — 금지되는 광고의 범위,RAG,,advertising_score 척도의 유일한 근거·18개 항목·제1호~제18호 단위 청킹·2026-08-13 룰추출 제외: 척도는 extract_c 프롬프트에 이미 반영돼 있고 항목 인용은 RAG evidence_chunks 몫.Stage C로 3청크 시범 추출 시 0건(광고유형 서술이라 risky_text 동사x명사 패턴에 안 걸림)
kr-medical-act-20260407,kr-medical-act-20260407.pdf,의료법,RULE_BASE,"A,C",법률 제21524호·시행 2026.4.7·제27조(무면허 의료행위)·제56조(의료광고)
kr-pipa-active-20251002,kr-pipa-active-20251002.pdf,개인정보 보호법(시행령 포함),RULE_BASE,"B,C",법률 제20897호·시행 2025.10.2·시행령 합본·제23조는 2026.9.11 시행 — 파일 내 조문 버전 확인 필요
kr-mohw-nonmedical-health-guide-202209,kr-mohw-nonmedical-health-guide-202209.pdf,비의료 건강관리서비스 가이드라인 및 사례집(2차),RULE_BASE,"A,B,C",2022.9 발간·웰니스/의료 경계·Before→After 허용 표현 범위·소관부처 서지정보 미확보
kr-pharmaceutical-affairs-act-20260621,(미확보),약사법,PENDING,"A,C",추후 투입 예정·시행 2026.6.21·무면허 약무행위(처방·조제·복약지도)·gate_keywords 4행이 이미 적재됐으나 legal_basis_doc 미기입 상태
kr-digital-medical-product-approval-notice-20260125,kr-digital-medical-product-approval-notice-20260125.pdf,디지털의료제품 허가·인증·신고·심사 및 평가 등에 관한 규정,RAG,,고시 제2026-6호·LLM 파이프라인 미투입 확정(§1.5.2)·제8조·제33조가 avoidance_certification 근거
kr-digital-medical-product-act-rule-20260124,kr-digital-medical-product-act-rule-20260124.pdf,디지털의료제품법 시행규칙,2ND_PHASE,,총리령 제2088호·임상·진료 data_type 제외대상 근거·1차 구축 범위 밖
kr-mfds-digital-medical-device-sw-guide-20250507,kr-mfds-digital-medical-device-sw-guide-20250507.pdf,디지털의료기기소프트웨어 허가·심사 가이드라인,HOLD,,안내서-1425-01·§1.5 MFDS-G-2025-02·원문 대조 미완료 — 인용 중인 안전성 등급 A/B/C·사용목적 분류 A~H 수록 여부 확인 후 결정
kr-mfds-medical-device-classification-guide-20251231,kr-mfds-medical-device-classification-guide-20251231.pdf,의료기기 해당 여부 및 품목 분류·등급 판단기준,HOLD,,지침서-1079-01·§1.5 참조목록에 없는 신규 문서·법적 효력 없는 참고자료 표기·0091-03과 중복 여부 확인 필요
kr-mfds-press-wellness-revision-20260212,kr-mfds-press-wellness-revision-20260212.pdf,식약처 보도참고자료 — 웰니스 판단기준 지침서 개정,SKIP,,개정 사실 안내용 부속자료·룰 추출 대상 아님·개정일(2026.2.12) 확인 근거로만 보관
